#iteration,Porcupine Basin,Rockall Plateau area A,Rockall Plateau area B,Rockall Plateau area C,Rockall Plateau area D,Northeast Greenland basin,Voring / More basin,Faroe-Shetland basin,Total
36,316.96896,157.864387,358.7352585,1598.324422,86.84330891,681.5868788,3220.641983,841.7195805,7262.684779
37,210.3496241,199.389674,331.4507672,2076.380657,107.3750578,928.8967698,1638.292154,654.7136249,6146.848329
38,264.5765941,207.5270272,421.6159355,3827.922011,70.25975677,816.9540155,2515.595744,802.4830092,8926.934093
39,291.5182963,622.8530574,313.1497393,2849.127926,173.4363843,881.5919225,3024.115231,830.3609853,8986.153542
40,196.5231128,128.0893502,485.7948189,1784.648575,129.0694109,1261.870884,1570.478786,1050.46223,6606.937168
41,253.859093,377.9368812,434.0297643,2086.215731,84.05444519,1044.937825,2809.50464,824.3833791,7914.921759
42,320.9139265,195.6089524,459.6388683,1781.10702,67.87635999,894.8393895,2047.052761,781.8228583,6548.860136
43,243.7672103,215.3617279,525.9558484,1890.870976,102.6763688,851.9473737,3346.141548,905.4808186,8082.201872
44,209.9765234,218.4657666,367.5609111,2356.74205,118.6773324,727.3814902,2600.030472,729.5116878,7328.346234
45,224.583229,340.0735344,745.1686862,2586.214246,226.4480141,546.7896865,2219.45003,794.7663753,7683.493802
46,280.0556712,359.5278948,387.5763539,1842.237399,81.38577675,656.026619,2545.121016,761.691011,6913.621742
47,237.8626781,221.3078178,486.7581236,2441.477352,101.2206571,921.6560732,3756.906578,1206.223904,9373.413184
48,235.9709694,289.211498,813.5949223,4580.996596,94.04594206,646.1426641,2527.643269,789.9987359,9977.604597
49,228.9972688,278.88616,493.6245034,2658.240013,138.6305662,911.4964468,5203.155497,1401.015056,11314.04551
50,241.5923513,385.1396207,721.2395908,2097.497594,134.5322513,779.8733296,4815.284352,1380.769012,10555.9281
51,182.9272695,559.6661504,763.755023,2559.563546,140.3305668,759.9534061,2368.644279,773.8530917,8108.693333
52,341.3532482,160.9820922,353.4224816,3233.1613,108.0975903,1460.910512,1012.76808,889.057614,7559.752918
53,250.5192201,203.6987147,352.3838605,2032.215097,109.7705915,1238.54046,2189.219468,567.0558356,6943.403247
54,303.8760384,356.1398845,450.9211925,2583.356357,116.5767975,561.813529,2599.376139,746.4295287,7718.489467
55,263.1648664,186.8879106,341.7839884,1877.816635,84.42241851,885.7943872,2090.102243,765.6490273,6495.621476
56,453.3374429,203.423705,706.8618317,2926.558585,98.49845801,881.4234859,3465.330689,820.9931075,9556.427305
57,377.813543,256.6283646,574.6774876,2238.546146,101.645512,1038.634485,2986.906446,1058.784652,8633.636636
58,253.9054904,217.1253987,494.6578196,2095.872132,107.4851958,801.7924266,2240.835573,777.630587,6989.304623
59,177.9316452,230.3765348,496.632715,2132.461264,143.0186412,1180.401383,1788.675655,692.8185631,6842.316401
60,348.5007068,238.0630647,348.3713954,2139.449235,135.9293236,768.9910962,3336.10003,774.7534095,8090.158261
61,266.8914171,297.9076974,376.9657765,2984.532818,118.0633061,867.5718081,3203.683301,1210.519557,9326.135681
62,359.2967387,182.9297968,328.1015225,2170.440377,86.62388965,489.2554412,1807.510544,651.8823565,6076.040666
63,163.3537251,328.9959326,374.8154308,3726.101532,106.7036127,1108.718275,2625.080604,694.3821003,9128.151213
64,234.6195014,337.4777445,468.7222968,2671.795434,77.49440498,993.1236292,2366.737153,818.0560647,7968.026229
65,342.8302731,206.4051077,528.2237658,2322.875925,96.91877694,1039.375149,1318.347814,697.3438228,6552.320634
66,316.1332229,200.5767529,952.4170912,2463.081148,134.1416088,872.2580404,3062.649466,851.5800334,8852.837364
67,316.8909418,319.2049423,471.9549875,2591.884111,61.0421498,1593.925327,4063.671811,1034.590381,10453.16465
68,194.0373152,194.5048544,931.9947969,2397.996815,79.15991953,956.1069691,1238.66971,616.2079611,6608.678341
69,280.2182962,303.0118699,648.9732698,3275.279776,84.28868726,866.1497737,2505.025907,1116.836979,9079.784559
70,332.4012458,283.3497253,416.7616807,1949.029743,195.6702866,619.9046098,2028.751257,701.3899613,6527.25851
71,195.2755669,247.1596835,554.4555431,2719.736871,157.9588255,722.1535499,2454.551156,838.3977613,7889.688957
72,186.9345471,186.0018853,365.8823175,2354.670811,57.14769616,988.2815985,2647.048663,771.4374068,7557.404925
73,177.2561912,304.0930444,318.7884318,2771.608246,106.9667663,850.1266073,3946.743854,1073.423895,9549.007036
